2019-01-04 11:57:17,682 INFO  AbstractContextLoader.java:264 - Could not detect default resource locations for test class [thrift.DemoThriftTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-01-04 11:57:17,752 INFO  AbstractTestContextBootstrapper.java:260 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener]
2019-01-04 11:57:17,772 INFO  AbstractTestContextBootstrapper.java:187 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@32910148, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3f56875e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2b4bac49, org.springframework.test.context.support.DirtiesContextTestExecutionListener@fd07cbb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3571b748, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3e96bacf, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@484970b0, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4470f8a6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7c83dc97, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7748410a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@740773a3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@37f1104d]
2019-01-04 11:57:18,395 INFO  StartupInfoLogger.java:48 - Starting DemoThriftTest on dengjunwudeMacBook-Pro.local with PID 1536 (started by dengjunwu in /Users/dengjunwu/IdeaProjects/demo-thrift-service)
2019-01-04 11:57:18,398 INFO  SpringApplication.java:597 - The following profiles are active: test
2019-01-04 11:57:18,434 INFO  AbstractApplicationContext.java:583 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@7642df8f: startup date [Fri Jan 04 11:57:18 CST 2019]; root of context hierarchy
2019-01-04 11:57:19,263 INFO  DefaultListableBeanFactory.java:828 - Overriding bean definition for bean 'niftyClientServicePool' with a different definition: replacing [Root bean: class [null]; scope=singleton; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=thriftServiceConfiguration; factoryMethodName=niftyClientServicePool; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dengjunwu/client/ThriftServiceConfiguration.class]] with [Root bean: class [null]; scope=singleton; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=com.cyril.springboot.thrift.client.ThriftServiceConfiguration; factoryMethodName=niftyClientServicePool; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/cyril/springboot/thrift/client/ThriftServiceConfiguration.class]]
2019-01-04 11:57:19,278 INFO  DefaultListableBeanFactory.java:828 - Overriding bean definition for bean 'thriftServerRunner' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=thriftAutoConfiguration; factoryMethodName=thriftServerRunner; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dengjunwu/server/autoconfigure/ThriftAutoConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=com.cyril.springboot.thrift.server.autoconfigure.ThriftAutoConfiguration; factoryMethodName=thriftServerRunner; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/cyril/springboot/thrift/server/autoconfigure/ThriftAutoConfiguration.class]]
2019-01-04 11:57:19,548 INFO  AutowiredAnnotationBeanPostProcessor.java:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-01-04 11:57:19,626 WARN  AbstractApplicationContext.java:551 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'annotationBean' defined in file [/Users/dengjunwu/IdeaProjects/demo-thrift-service/target/classes/com/dengjunwu/client/AnnotationBean.class]: Initialization of bean failed; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.dengjunwu.client.pool.TNiftyClientServicePool' available
